time from scenario start,umv response duration ms
00:04:17.12,1744
00:04:17.19,1501
00:04:17.27,1501
00:04:17.28,1753
00:04:17.30,1502
00:04:17.32,1501
00:04:17.34,1501
00:04:17.34,1501
00:04:17.37,1702
00:04:17.38,1502
00:04:17.45,1502
00:04:17.51,1501
00:04:17.52,1502
00:04:17.53,1748
00:04:17.63,1756
00:04:17.69,1501
00:04:17.73,1501
00:04:17.79,1675
00:04:17.89,1717
00:04:18.02,1501
00:04:18.04,1653
00:04:18.07,1502
00:04:18.11,1502
00:04:18.12,1502
00:04:18.14,1502
00:04:18.14,1691
00:04:18.24,1501
00:04:18.26,1501
00:04:18.26,1501
00:04:18.30,1747
00:04:18.40,1713
00:04:18.47,1501
00:04:18.48,1501
00:04:18.55,1622
00:04:18.59,1501
00:04:18.62,1501
00:04:18.65,1705
00:04:18.79,1501
00:04:18.80,1723
00:04:18.90,1716
00:04:18.97,1502
00:04:19.04,1501
00:04:19.06,1698
00:04:19.16,1689
00:04:19.20,1501
00:04:19.23,1501
00:04:19.24,1502
00:04:19.26,1501
00:04:19.26,1502
00:04:19.28,1502
00:04:19.29,1502
00:04:19.31,1681
00:04:19.35,1501
00:04:19.42,1732
00:04:19.49,1502
00:04:19.55,1502
00:04:19.56,1736
00:04:19.63,1501
00:04:19.67,1691
00:04:19.82,1753
00:04:19.93,1745
00:04:20.02,1501
00:04:20.04,1502
00:04:20.07,1656
00:04:20.18,1753
00:04:20.24,1501
00:04:20.28,1501
00:04:20.32,1679
00:04:20.40,1502
00:04:20.43,1701
00:04:20.56,1501
00:04:20.58,1712
00:04:20.64,1502
00:04:20.69,1710
00:04:20.77,1502
00:04:20.83,1725
00:04:20.88,1502
00:04:20.90,1501
00:04:20.94,1501
00:04:20.94,1501
00:04:20.94,1708
00:04:20.96,1502
00:04:20.96,1501
00:04:20.99,1502
00:04:21.01,1502
00:04:21.06,1501
00:04:21.07,1501
00:04:21.08,1752
00:04:21.16,1501
00:04:21.19,1742
00:04:21.34,1752
00:04:21.45,1691
00:04:21.53,1501
00:04:21.59,1625
00:04:21.70,1715
00:04:21.85,1740
00:04:21.95,1501
00:04:21.95,1621
00:04:22.10,1718
00:04:22.21,1591
00:04:22.26,1501
00:04:22.35,1705
00:04:22.37,1501
00:04:22.38,1501
00:04:22.46,1750
00:04:22.50,1501
00:04:22.52,1501
00:04:22.54,1501
00:04:22.54,1501
00:04:22.57,1502
00:04:22.58,1502
00:04:22.61,1751
00:04:22.64,1501
